market_id,tier,anomaly_family,metric_name,row_count,alert_count,max_severity,max_robust_z,max_percentile_rank,first_alert_at,latest_alert_at,limitation,claim_scope
0x0a99479228e93524b25676ae69b94bd3f4278a6bca8d8c265c84d24755399cf5,all_tiers,active_wallet_activity,active_wallets,21,0,none,,1.0,,,aggregate diagnostic live-style active-wallet tier count; no wallet addresses,descriptive_monitor_alert_summary_only
0x0a99479228e93524b25676ae69b94bd3f4278a6bca8d8c265c84d24755399cf5,all_tiers,concentration,hhi_concentration,21,0,none,,1.0,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0x0a99479228e93524b25676ae69b94bd3f4278a6bca8d8c265c84d24755399cf5,all_tiers,concentration,top_tier_share,21,0,none,,1.0,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0x0a99479228e93524b25676ae69b94bd3f4278a6bca8d8c265c84d24755399cf5,market,market_move,absolute_midpoint_change,40,0,none,,1.0,,,diagnostic live-style input; no orderbook claim,descriptive_monitor_alert_summary_only
0x0a99479228e93524b25676ae69b94bd3f4278a6bca8d8c265c84d24755399cf5,all_tiers,wallet_tier_activity,log1p_total_observed_amount_usd,21,0,none,,1.0,,,aggregate diagnostic live-style wallet-tier input; no wallet addresses or wallet-performance claim,descriptive_monitor_alert_summary_only
0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,all_tiers,active_wallet_activity,active_wallets,69,0,none,,1.0,,,aggregate diagnostic live-style active-wallet tier count; no wallet addresses,descriptive_monitor_alert_summary_only
0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,all_tiers,concentration,hhi_concentration,69,0,none,,1.0,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,all_tiers,concentration,top_tier_share,69,0,none,,1.0,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,market,market_move,absolute_midpoint_change,136,2,high,36451635996524.35,1.0,2026-08-29T04:30:00Z,2026-08-29T04:30:00Z,diagnostic live-style input; no orderbook claim,descriptive_monitor_alert_summary_only
0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,all_tiers,wallet_tier_activity,log1p_total_observed_amount_usd,69,0,none,,1.0,,,aggregate diagnostic live-style wallet-tier input; no wallet addresses or wallet-performance claim,descriptive_monitor_alert_summary_only
0x4167e22670f31e5f93d132f78108f3fae809bd15cadf78983eff096845ed1415,all_tiers,active_wallet_activity,active_wallets,21,0,none,-0.6744907594765952,1.0,,,aggregate diagnostic live-style active-wallet tier count; no wallet addresses,descriptive_monitor_alert_summary_only
